Warehouse code	Item code	Item Description	Stock on Hand
ZBF12S	52141501PA01751	Bimetal Therm Assly FF PENTA	513
ZBF12S	52141501PA01841	BLDC Cntl Asy Tvs Mini Eon	0
ZBF12S	52141501PA01842	BLDC Cntl Asy Tvs Mini Spin 4*	24
ZBF12S	52141501PA01923	Hinge LEG BTM BKT ASY SPIN PP	49
ZBF12S	52141501PA02008	FD Assy 225/255 DUO SER	33
ZBF12S	52141501PA02408	BLDC Cntl Asy LTVS DC_Overlap	18
ZBF12S	52141501PA02654	Evap Rdy 196 Axis Facelift	29
ZBF12S	52141501PA02677	BLDC Cntl Asy LTVS Spin GMHV7	0
ZBF12S	52141501PA02684	Evap Cu Tip Edgeneo 207	109
ZBF12S	52141501PA02696	FD Assly Rio\Marl\IMP GPPS Ser	0
ZBF12S	52141501PA02839	BLDC Cntl Asy Mini TRIBI	51
ZBF12S	52141501PA02894	BLDC Cntl Asy MiniTRIBI CuComp	0
ZBF12S	52141501PA03068	Evap EDuo 240-270 Cu Inlet Ser	71
ZBF12S	52141501PA03158	Crisper Tray Edgepro Wt Pkg	104
ZBF12S	52141501PA03159	FD Assy Edgepro Wt Pkg	830
ZBF12S	52141501PA03168	Door Gasket MD 241L SPIN WP	0
ZBF12S	52141501PA03169	Door Gasket MD 261L SPIN WP	9
ZBF12S	52141501PA03170	Door Gasket MD 290L SPIN WP	0
ZBF12S	52141501PA03173	Door Gasket MD 350L SPIN WP	7
ZBF12S	52141501PA03174	Door Gasket FD 290L SPIN WP	4
ZBF12S	52141501PA03176	Door Gasket MD 190 EPRO WP	456
ZBF12S	52141501PA03179	Door Gasket MD Eon260L WP 12mm	23
ZBF12S	52141501PA03180	Door Gasket MD 210L EPRO WP	149
ZBF12S	52141501PA03181	Door Gasket MD 240L EPRO WP	2
ZBF12S	52141501PA03183	Frz Frm New Neo white Epro WP	188
ZBF12S	52141501PA03601	BLDC Cntl Asy MOD Mini TRIBI	43
ZBF12S	52141501PA03769	Capacitor GE80	15
ZBF12S	52141501PA03770	Capacitor GE93	122
ZBF12S	52141501PA03771	Capacitor GE120	11
ZBF12S	52141501PA03772	Capacitor GE131	83
ZBF12S	52141501PA03814	Evap Assly ERioPlus Cu End Ser	64
ZBF12S	52141501PA04123	Bimetal Thermal Fuse Assly Ser	125
ZBF12S	52141502PA01623	Magnetron GMX20CA1/A2 20L Cv	0
ZBF12S	52141601PA00001	Lid Swt Auto Common	0
ZBF12S	52141601PA00027	Gear Box Assembly GLITZ	10
ZBF12S	52141601PA00032	Select Swt WITH CAP 650 FC Red	0
ZBF12S	52141601PA00324	Belt GWS7202PPI Haily	0
ZBF12S	52141601PA00339	Pulsator GWS6502PPC Assy	11
ZBF12S	52141601PA00367	Lid GDS950 Spin tub Leslie	30
ZBF12S	52141601PA00382	Pin Nylon Spin Cvr GWS6502PPC	0
ZBF12S	52141601PA00435	Lid GWS6502PPC Red Assy spin	92
ZBF12S	52141601PA00457	Spring assy GWS6201 Assy Xinle	0
ZBF12S	52141601PA00470	Knob Assy GWS6502PPC Chenyang	0
ZBF12S	52141601PA00478	Drain valve GWS7002PPC Assy	9
