Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
RMS97745264,CU SUCLN ASLY FR GFE35/36 2110,40182506DG00025,CU SUCLN ASLY FR GFE35/36 2110
RMS97745265,USER MANUAL FOR EXPORT FF     ,55101521SD00213,USER MANUAL FOR EXPORT FF
RMS97745268,SUCTLINE GUIDE TUBE 946 N-28  ,40183002SD00019,SUCTLINE GUIDE TUBE 946 N-28
RMS97745269,DRAIN TUBE+ENDCAP ASS 801 N-28,40183002SD00028,DRAIN TUBE+ENDCAP ASS 801 N-28
RMS97745274,BRACKET - EDGEPRO THERMOSTAT  ,52141501PA01195,BRACKET - EDGEPRO THERMOSTAT
RMS97745276,LOCK COVER ABS UG WR NEW DESGN,31141596DG01196,LOCK COVER ABS UG WR NEW DESGN
RMS97745277,LOCK COVER ABS UG DG NEW DESGN,31141596DG00944,LOCK COVER ABS UG DG NEW DESGN
RMS97745278,LOCK COVER ABS UG CG NEW DESGN,31141596DG01195,LOCK COVER ABS UG CG NEW DESGN
RMS97745279,PAPER PULP PACKGIN FRNT & SIDE,24141508DG00045,PAPER PULP PACKGIN FRNT & SIDE
RMS97745292,SLIDE FOR T TOP-COPPER-EPRO   ,31141596DG00296,SLIDE FOR T TOP-COPPER-EPRO
RMS97745293,LOCK COVER-COPPER-EPRO        ,31141596DG00297,LOCK COVER-COPPER-EPRO
RMS97745294,MD TOP CHNL-COPPER-EPRO       ,31141596DG00298,MD TOP CHNL-COPPER-EPRO
RMS97745295,MD BTM CHNL-COPPER-EPRO       ,31141596DG00299,MD BTM CHNL-COPPER-EPRO
RMS97745327,BIG TILTING BOTTLE SHELF 240L ,31141596DG00525,BIG TILTING BOTTLE SHELF 240L
RMS97745328,BIG TILTNG BTL SHLF MTG LH240L,31141596DG00526,BIG TILTNG BTL SHLF MTG LH240L
RMS97745329,BIG BOTTLE SHELF 240L         ,31141596DG00527,BIG BOTTLE SHELF 240L
RMS97745330,BIG TILTNG BTL SHLF MTG RH240L,31141596DG00528,BIG TILTNG BTL SHLF MTG RH240L
RMS97745331,BOTTLE SHELF TRIM 240L        ,31141596DG00902,BOTTLE SHELF TRIM 240L
RMS97745332,CAN HOLDER 240L               ,31141596DG00529,CAN HOLDER 240L
RMS97745333,CAN HOLDER SUPPORT 240L       ,31141596DG00530,CAN HOLDER SUPPORT 240L
RMS97745334,CHILLER TRAY FLAP ASSLY-240L  ,52141501PA00014,CHILLER TRAY FLAP ASSLY-240L
RMS97745335,COSMETIC HOLDER 240L          ,31141596DG00300,COSMETIC HOLDER 240L
RMS97745336,CRISPER BACK 240L             ,31141596DG00531,CRISPER BACK 240L
RMS97745337,CRISPER COVER PLASTIC 240L    ,31141596DG00532,CRISPER COVER PLASTIC 240L
RMS97745338,CRISPER SEPERATOR-EPRO        ,31141596DG00301,CRISPER SEPERATOR-EPRO
RMS97745339,CRISPER TRIM 240L             ,31141596DG00533,CRISPER TRIM 240L
RMS97745340,DAIRY BOX 240L                ,31141596DG00534,DAIRY BOX 240L EON
RMS97745341,DAIRY BOX BUSH 240L           ,31171609DG00025,DAIRY BOX BUSH 240L
RMS97745342,DAIRY BOX COVER 240L          ,31141596DG00535,DAIRY BOX CVR-240L-DAIRY PRTG
RMS97745343,DAIRY BOX NUT PLATE 240L      ,31141596DG00212,DAIRY BOX NUT PLATE 240L
RMS97745344,EGG TRAY 240L                 ,31141596DG00924,EGG TRAY 240L
RMS97745345,FD HANDLE BACK  240L COPPER   ,31141596DG02199,FD HANDLE BACK  240L COPPER
RMS97745346,FD HANDLE BACK 240L DARK GREY ,31141596DG00733,FD HANDLE BACK 240L DARK GREY
RMS97745347,FD HANDLE BACK 240L WINE RED  ,31141596DG00734,FD HANDLE BACK 240L WINE RED
RMS97745348,FD HANDLE FRONT  240L COPPER  ,31141596DG02195,FD HANDLE FRONT  240L COPPER
RMS97745349,FD HANDLE FRONT 240L DARK GREY,31141596DG00735,FD HANDLE FRONT 240L DARK GREY
RMS97745350,FD HANDLE FRONT  240L WINE RED,31141596DG00736,FD HANDLE FRONT  240L WINE RED
RMS97745351,FREEZER DOOR HANDLE TRIM 240L ,31141596DG00553,MD HNDL TRIM-240L-CHROME PLTD
